colony,technique,count,diff,absdiff,actual,Obs,focus,counter,image
8,UAV120,561,-282,282,843,JB,N,UAV,Y
8,UAV90,796,-47,47,843,JM,N,UAV,Y
8,Ground,776,-67,67,843,JD,N,Gro,N
8,UAV90,828,-15,15,843,JP,N,UAV,Y
8,UAV60,857,14,14,843,JC,N,UAV,Y
8,UAV60,840,-3,3,843,JG,N,UAV,Y
8,Ground,410,-433,433,843,LC,N,Gro,N
8,UAV60,847,4,4,843,MB,N,UAV,Y
8,UAV30,846,3,3,843,MD,N,UAV,Y
8,UAV90,823,-20,20,843,MW,N,UAV,Y
8,UAV60,853,10,10,843,MG,N,UAV,Y
8,UAV90,799,-44,44,843,MF,N,UAV,Y
8,UAV120,663,-180,180,843,NH,N,UAV,Y
8,UAV30,842,-1,1,843,PM,N,UAV,Y
8,UAV120,765,-78,78,843,PY,N,UAV,Y
8,Ground,661,-182,182,843,PS,N,Gro,N
8,UAV120,602,-241,241,843,SR,N,UAV,Y
8,UAV30,833,-10,10,843,SV,N,UAV,Y
8,UAV60,833,-10,10,843,SK,N,UAV,Y
8,UAV120,736,-107,107,843,XG,N,UAV,Y
8,UAV30,838,-5,5,843,ZB,N,UAV,Y
9,UAV60,971,-6,6,977,AR,N,UAV,Y
9,UAV120,565,-412,412,977,AF,N,UAV,Y
9,UAV90,885,-92,92,977,AJ,N,UAV,Y
9,UAV90,893,-84,84,977,AY,N,UAV,Y
9,Ground,635,-342,342,977,AS,N,Gro,N
9,UAV90,959,-18,18,977,AH,N,UAV,Y
9,UAV60,960,-17,17,977,BH,N,UAV,Y
9,UAV30,928,-49,49,977,CA,N,UAV,Y
9,UAV30,991,14,14,977,DN,N,UAV,Y
9,UAV90,931,-46,46,977,DM,N,UAV,Y
9,UAV30,959,-18,18,977,DT,N,UAV,Y
9,UAV120,838,-139,139,977,GS,N,UAV,Y
9,Ground,982,5,5,977,GC,N,Gro,N
9,UAV120,639,-338,338,977,JB,N,UAV,Y
9,UAV90,888,-89,89,977,JM,N,UAV,Y
9,Ground,970,-7,7,977,JD,N,Gro,N
9,UAV90,890,-87,87,977,JP,N,UAV,Y
9,UAV60,991,14,14,977,JC,N,UAV,Y
9,UAV60,986,9,9,977,JG,N,UAV,Y
9,Ground,731,-246,246,977,LC,N,Gro,N
9,UAV60,980,3,3,977,MB,N,UAV,Y
9,UAV30,965,-12,12,977,MD,N,UAV,Y
9,UAV90,925,-52,52,977,MW,N,UAV,Y
9,UAV60,972,-5,5,977,MG,N,UAV,Y
9,UAV90,872,-105,105,977,MF,N,UAV,Y
9,UAV120,642,-335,335,977,NH,N,UAV,Y
9,UAV30,976,-1,1,977,PM,N,UAV,Y
9,UAV120,710,-267,267,977,PY,N,UAV,Y
9,Ground,701,-276,276,977,PS,N,Gro,N
9,UAV120,570,-407,407,977,SR,N,UAV,Y
9,UAV30,958,-19,19,977,SV,N,UAV,Y
9,UAV60,924,-53,53,977,SK,N,UAV,Y
9,UAV120,746,-231,231,977,XG,N,UAV,Y
9,UAV30,928,-49,49,977,ZB,N,UAV,Y
10,UAV60,562,-1,1,563,AR,N,UAV,Y
10,UAV120,413,-150,150,563,AF,N,UAV,Y
10,UAV90,557,-6,6,563,AJ,N,UAV,Y
10,UAV90,563,0,0,563,AY,N,UAV,Y
