V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
26	-0.441833333333333	-0.390257894736842	-0.482636	-0.304675	-0.121038461538462	-0.313663636363636	-0.725838461538462	-0.766707142857143	-0.5785	-1.12123333333333
27	-0.429745833333333	-0.110021052631579	-0.615528	-0.008275	-0.271192307692308	-0.452063636363636	-0.573869230769231	-0.866621428571429	-0.605025	-1.12123333333333
28	-0.4877125	-0.2752	-0.356232	0.01755	-0.3362	-0.232527272727273	-0.584107692307692	-0.997907142857143	-0.5712	-1.12123333333333
29	-0.599429166666667	-0.261660526315789	-0.673556	-0.619075	-0.299130769230769	-0.3362	-0.667023076923077	-0.862685714285714	-0.605025	-1.12123333333333
30	-0.680425	-0.165378947368421	-0.478744	-0.73065	-0.0965	-0.334381818181818	-0.637738461538462	-1.18612142857143	-0.5785	-1.52178333333333
31	-0.74285	-0.326676315789474	-0.553132	0.020775	-0.331830769230769	-0.2332	-0.826846153846154	-1.23385714285714	-0.5508875	-1.01838333333333
32	-0.653741666666667	-0.240815789473684	-0.4925	-0.404725	-0.255838461538462	-0.552318181818182	-0.644215384615385	-0.69155	-0.605025	-1.12533333333333
33	-0.337991666666667	-0.0678263157894737	-0.604652	-0.810625	-0.132969230769231	-0.422172727272727	-0.724946153846154	-1.04275	-0.5508875	-1.62463333333333
34	-0.679670833333333	-0.569368421052632	-0.684232	-0.35735	-0.321561538461538	-0.450827272727273	-0.924761538461538	-1.1397	-0.5822375	-1.12123333333333
35	-0.718475	-0.356431578947368	-0.555316	-0.10245	-0.3875	-0.365163636363636	-0.600246153846154	-1.23642857142857	-0.5508875	-1.12533333333333
36	-0.515083333333333	-0.290689473684211	-0.743128	-0.480475	-0.275853846153846	-0.245963636363636	-0.6638	-1.00709285714286	-0.605025	-1.17328333333333
37	-0.614983333333333	-0.316239473684211	-0.735928	-0.58155	-0.297176923076923	-0.272	-0.692053846153846	-0.989242857142857	-0.5712	-1.62463333333333
38	-0.680783333333333	-0.407376315789474	-0.4233	-0.5048	-0.125223076923077	-0.209572727272727	-0.612276923076923	-1.13423571428571	-0.597725	-1.12123333333333
39	-0.6541375	-0.318868421052632	-0.609456	-0.35535	-0.277446153846154	-0.339718181818182	-0.681761538461539	-0.947035714285714	-0.5712	-1.12123333333333
40	-0.505491666666667	-0.336473684210526	-0.687056	0.01555	-0.325238461538462	-0.305972727272727	-0.899492307692308	-1.12787142857143	-0.5822375	-1.12533333333333
41	-0.291091666666667	-0.448423684210526	-0.717604	0.26845	-0.0898769230769231	-0.552318181818182	-0.557692307692308	-1.0977	-0.5822375	-1.12123333333333
42	-0.585854166666667	-0.456326315789474	-0.822188	-0.3033	-0.120315384615385	-0.183227272727273	-0.626646153846154	-0.857814285714286	-0.5822375	-1.12533333333333
43	-0.566583333333333	-0.175484210526316	-0.745284	-0.733875	-0.168476923076923	-0.183881818181818	-0.809907692307692	-0.715221428571429	-0.5822375	-1.62463333333333
44	-0.758808333333333	-0.168594736842105	-0.636108	0.124625	-0.1548	-0.301563636363636	-0.672853846153846	-0.779742857142857	-0.5749375	-1.02248333333333
