V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
43	-0.18969746835443	-0.314247058823529	-0.0576039215686275	-0.150557894736842	-0.113311111111111	-0.410686046511628	-0.135355263157895	-0.471592307692308	-0.352988235294118	-0.320766666666667
44	-0.218717721518987	-0.216608823529412	-0.0994705882352941	-0.192010526315789	-0.0841592592592593	-0.45193488372093	-0.197921052631579	-0.444638461538462	-0.390626470588235	-0.305111111111111
45	-0.138758227848101	-0.178382352941176	-0.0917862745098039	-0.214231578947368	-0.174403703703704	-0.298932558139535	-0.161921052631579	-0.453153846153846	-0.400620588235294	-0.195638888888889
46	-0.229678481012658	-0.307539705882353	-0.0718098039215686	-0.341015789473684	-0.135111111111111	-0.262081395348837	-0.0749131578947368	-0.425441025641026	-0.389811764705882	-0.260533333333333
47	-0.191844303797468	-0.221047058823529	-0.0205039215686275	-0.176589473684211	0.0153555555555556	-0.318190697674419	-0.150210526315789	-0.332510256410256	-0.360829411764706	-0.388988888888889
48	-0.114489873417722	-0.286576470588235	-0.124233333333333	-0.246205263157895	-0.152296296296296	-0.326327906976744	-0.158894736842105	-0.442933333333333	-0.354973529411765	-0.355061111111111
49	-0.207475949367089	-0.246526470588235	-0.125874509803922	-0.227805263157895	-0.168192592592593	-0.337567441860465	-0.207089473684211	-0.503315384615385	-0.370094117647059	-0.302427777777778
50	-0.111306329113924	-0.303345588235294	-0.132576470588235	-0.170415789473684	-0.111851851851852	-0.36533023255814	-0.205021052631579	-0.432879487179487	-0.379138235294118	-0.341827777777778
51	-0.306788607594937	-0.288369117647059	-0.140788235294118	-0.148342105263158	-0.052937037037037	-0.293541860465116	-0.147694736842105	-0.304971794871795	-0.423017647058824	-0.214055555555556
52	-0.207513924050633	-0.263639705882353	-0.106523529411765	-0.208652631578947	-0.221448148148148	-0.371839534883721	-0.148297368421053	-0.337020512820513	-0.353020588235294	-0.185038888888889
53	-0.164143037974684	-0.275788235294118	-0.0518	-0.164363157894737	-0.173362962962963	-0.399823255813954	-0.152355263157895	-0.490158974358974	-0.374102941176471	-0.3356
54	-0.227489873417722	-0.240942647058824	-0.114409803921569	-0.325184210526316	-0.154481481481481	-0.369425581395349	-0.229055263157895	-0.416741025641026	-0.378897058823529	-0.256894444444444
55	-0.148605063291139	-0.279936764705882	-0.0642156862745098	-0.205784210526316	-0.13227037037037	-0.344753488372093	-0.229563157894737	-0.485935897435897	-0.359955882352941	-0.37345
56	-0.213159493670886	-0.195986764705882	-0.0886705882352941	-0.00924210526315788	-0.167759259259259	-0.290351162790698	-0.227392105263158	-0.352887179487179	-0.385882352941176	-0.319555555555556
57	-0.199074683544304	-0.191889705882353	-0.0713470588235294	-0.153605263157895	-0.122348148148148	-0.411541860465116	-0.164294736842105	-0.4085	-0.359955882352941	-0.237977777777778
58	-0.190278481012658	-0.239630882352941	-0.0918588235294118	-0.139405263157895	-0.162525925925926	-0.317255813953488	-0.182639473684211	-0.541082051282051	-0.404585294117647	-0.320577777777778
59	-0.251536708860759	-0.301311764705882	-0.0860647058823529	-0.127947368421053	-0.0420185185185185	-0.367088372093023	-0.142739473684211	-0.462364102564103	-0.401435294117647	-0.300427777777778
60	-0.14376582278481	-0.282154411764706	-0.151539215686275	-0.162963157894737	-0.133896296296296	-0.312548837209302	-0.107610526315789	-0.451320512820513	-0.358097058823529	-0.339772222222222
61	-0.149162025316456	-0.31625	-0.0564588235294118	-0.227389473684211	-0.0697851851851852	-0.291997674418605	-0.261247368421053	-0.434117948717949	-0.382911764705882	-0.224144444444444
62	-0.180786075949367	-0.257986764705882	-0.0728647058823529	-0.295657894736842	-0.124525925925926	-0.352332558139535	-0.231960526315789	-0.411764102564103	-0.397197058823529	-0.333844444444444
63	-0.172037974683544	-0.237176470588235	-0.130882352941176	-0.189505263157895	-0.137940740740741	-0.30176511627907	-0.142613157894737	-0.443946153846154	-0.3445	-0.268722222222222
64	-0.166445569620253	-0.244955882352941	-0.167578431372549	-0.181326315789474	-0.0267481481481481	-0.28173023255814	-0.0735105263157895	-0.416794871794872	-0.349032352941176	-0.297661111111111
65	-0.181159493670886	-0.303639705882353	-0.157794117647059	-0.268331578947368	-0.161859259259259	-0.386655813953488	-0.218442105263158	-0.482702564102564	-0.371144117647059	-0.282955555555556
66	-0.130335443037975	-0.238567647058824	-0.118809803921569	-0.177684210526316	-0.147340740740741	-0.27643488372093	-0.0511236842105263	-0.375451282051282	-0.352691176470588	-0.308272222222222
67	-0.209393670886076	-0.265775	-0.0751803921568627	-0.166978947368421	-0.115151851851852	-0.356760465116279	-0.175292105263158	-0.467046153846154	-0.350223529411765	-0.220372222222222
68	-0.204948101265823	-0.317608823529412	-0.0904764705882353	-0.225805263157895	-0.0926888888888889	-0.384793023255814	-0.144097368421053	-0.518894871794872	-0.350811764705882	-0.207472222222222
69	-0.161626582278481	-0.345855882352941	-0.101460784313725	-0.0738631578947369	-0.0644518518518518	-0.223639534883721	-0.188307894736842	-0.369035897435897	-0.385855882352941	-0.297277777777778
70	-0.161949367088608	-0.280597058823529	-0.0990392156862745	-0.235231578947368	-0.0702444444444444	-0.240127906976744	-0.0321078947368421	-0.455920512820513	-0.354379411764706	-0.362555555555556
71	-0.155182278481013	-0.230991176470588	-0.102462745098039	-0.232878947368421	-0.0716703703703704	-0.393032558139535	-0.144960526315789	-0.489092307692308	-0.3539	-0.284155555555556
72	-0.153118987341772	-0.275652941176471	-0.205062745098039	-0.295389473684211	-0.0120444444444444	-0.35916976744186	-0.117578947368421	-0.389587179487179	-0.390626470588235	-0.355388888888889
73	-0.226551898734177	-0.137422058823529	-0.127139215686275	-0.124447368421053	-0.0494851851851852	-0.437093023255814	-0.156907894736842	-0.414874358974359	-0.392155882352941	-0.287861111111111
74	-0.142525316455696	-0.273702941176471	-0.129050980392157	-0.0853473684210526	-0.0853185185185185	-0.350439534883721	-0.046671052631579	-0.507051282051282	-0.306920588235294	-0.2778
75	-0.13343417721519	-0.289204411764706	-0.0706862745098039	-0.144042105263158	-0.223666666666667	-0.357727906976744	-0.133497368421053	-0.453251282051282	-0.362785294117647	-0.215522222222222
76	-0.185193670886076	-0.263083823529412	-0.0957078431372549	-0.076978947368421	-0.081762962962963	-0.32293488372093	-0.249205263157895	-0.375358974358974	-0.351267647058824	-0.329722222222222
77	-0.210272151898734	-0.286248529411765	-0.0917686274509804	-0.0835947368421053	-0.112507407407407	-0.410588372093023	-0.136371052631579	-0.4232	-0.362547058823529	-0.34685
78	-0.089193670886076	-0.271302941176471	-0.0961137254901961	-0.181936842105263	0.0324481481481481	-0.358616279069767	-0.104818421052632	-0.33345641025641	-0.3546	-0.376955555555556
79	-0.215693670886076	-0.303911764705882	-0.0668647058823529	-0.107305263157895	-0.0961925925925926	-0.280146511627907	-0.144768421052632	-0.425741025641026	-0.376961764705882	-0.238361111111111
80	-0.184727848101266	-0.238772058823529	-0.111666666666667	-0.1924	-0.291303703703704	-0.398632558139535	-0.171926315789474	-0.360830769230769	-0.373564705882353	-0.24945
81	-0.183413924050633	-0.2428	-0.0902921568627451	-0.162605263157895	-0.0537185185185185	-0.313944186046512	-0.241736842105263	-0.430666666666667	-0.375897058823529	-0.185927777777778
82	-0.198503797468354	-0.232498529411765	-0.124596078431373	-0.293405263157895	-0.100792592592593	-0.328255813953488	-0.0389368421052632	-0.389202564102564	-0.397073529411765	-0.267866666666667
83	-0.196624050632911	-0.249941176470588	-0.0825509803921569	-0.185757894736842	-0.0182259259259259	-0.265327906976744	-0.162189473684211	-0.406358974358974	-0.401105882352941	-0.321483333333333
84	-0.261693670886076	-0.259626470588235	-0.104878431372549	-0.123163157894737	-0.109211111111111	-0.345274418604651	-0.196144736842105	-0.337115384615385	-0.361770588235294	-0.26135
85	-0.17276835443038	-0.209351470588235	-0.0681882352941176	-0.304763157894737	-0.149122222222222	-0.282790697674419	-0.137781578947368	-0.349587179487179	-0.392067647058824	-0.199311111111111
86	-0.150044303797468	-0.315410294117647	-0.103407843137255	-0.232015789473684	-0.103977777777778	-0.299225581395349	-0.143728947368421	-0.358135897435897	-0.386176470588235	-0.391188888888889
87	-0.0778455696202532	-0.267591176470588	-0.0931294117647059	-0.251515789473684	-0.183340740740741	-0.352053488372093	-0.132668421052632	-0.338825641025641	-0.325297058823529	-0.228188888888889
88	-0.154767088607595	-0.24765	-0.0922666666666667	-0.405136842105263	-0.107092592592593	-0.363158139534884	-0.206168421052632	-0.395066666666667	-0.362908823529412	-0.238005555555556
89	-0.223579746835443	-0.254445588235294	-0.143519607843137	-0.224142105263158	-0.0621888888888889	-0.27593023255814	-0.100457894736842	-0.398871794871795	-0.352805882352941	-0.325461111111111
90	-0.217946835443038	-0.298132352941176	-0.0771470588235294	-0.210184210526316	-0.0857555555555556	-0.426379069767442	-0.153047368421053	-0.505358974358974	-0.379514705882353	-0.401561111111111
91	-0.176255696202532	-0.311789705882353	-0.0757607843137255	-0.126594736842105	-0.114985185185185	-0.400679069767442	-0.208968421052632	-0.408251282051282	-0.361791176470588	-0.318183333333333
